1	1
4	1.25
7	2
10	1.8
13	2.53846
16	2.1875
19	2.94737
22	2.54545
25	2.76
28	2.60714
31	3.29032
34	3.11765
37	3.37838
40	2.775
43	3.62791
46	3.30435
49	3.36735
52	3.17308
55	3.34545
58	3.48276
61	3.95082
64	3.42188
67	3.9403
70	3.2
73	4.0411
76	3.53947
79	4.17722
82	3.82927
85	3.75294
88	3.57955
91	3.8022
94	3.91489
97	4.27835
100	3.57
103	4.3301
106	4.09434
109	4.41284
112	3.63393
115	4.05217
118	4.20339
121	4.17355
124	4.07258
127	4.55118
130	3.83077
133	4.17293
136	3.84559
139	4.66187
142	4.28169
145	4.25517
148	4.19595
151	4.72848
154	3.96104
157	4.69427
160	3.89375
163	4.76074
166	4.48193
169	4.52663
172	4.30814
175	4.28571
178	4.55056
181	4.8232
184	4.21196
187	4.50267
190	4.16842
193	4.88601
196	4.22959
199	4.89447
202	4.60396
205	4.63902
208	4.24519
211	4.90995
214	4.6729
217	4.6682
220	4.13182
223	5.04933
226	4.71681
229	5
232	4.47845
235	4.74043
238	4.36975
241	5.05809
244	4.61066
247	4.76113
250	4.52
253	4.77075
256	4.51172
259	4.82625
262	4.79389
265	4.81887
268	4.73507
271	5.21771
274	4.88321
277	5.20217
280	4.21071
283	5.22968
286	4.58741
289	5.02768
292	4.77055
295	4.94915
298	5
301	4.92691
304	4.57566
307	5.30293
310	4.61935
313	5.28754
316	4.86392
319	5.04075
322	4.67702
325	4.84
328	4.76524
331	5.31722
334	5.05389
337	5.37389
340	4.52059
343	5.13703
346	5.06936
349	5.42407
352	4.59943
355	5.08732
358	5.13966
361	5.23269
364	4.60714
367	5.41144
370	4.82703
373	5.46113
376	4.91223
379	5.46702
382	5.13089
385	4.78701
388	5.03351
391	5.22762
394	5.22335
397	5.52393
400	4.6375
403	5.23573
406	4.8867
409	5.48411
412	5.08981
415	5.23373
418	4.90431
421	5.54157
424	4.97877
427	5.28806
430	4.94884
433	5.56813
436	5.13073
439	5.61731
442	4.9457
445	5.26517
448	4.8192
451	5.37029
454	5.33921
457	5.61707
460	4.80217
463	5.62851
466	5.36052
469	5.38806
472	5.0572
475	5.20421
478	5.37238
481	5.38254
484	5.05165
487	5.65503
490	4.85306
493	5.40974
496	5.02218
499	5.66733
502	5.41833
505	5.4198
508	5.26181
511	5.44031
514	5.42023
517	5.4913
520	4.79038
523	5.75908
526	5.46008
529	5.57467
532	4.91917
535	5.44299
538	5.47584
541	5.74677
544	5.11581
547	5.78428
550	4.96
553	5.49186
556	5.31835
559	5.55277
562	5.46975
565	5.50619
568	5.29401
571	5.83538
574	5.21254
577	5.78683
580	5.02931
583	5.57118
586	5.54608
589	5.60102
592	5.22128
595	5.21681
598	5.23077
601	5.85524
604	5.37914
607	5.85502
610	5.2623
613	5.88744
616	4.93344
619	5.88691
622	5.58199
625	5.5312
628	5.46019
631	5.86688
634	5.58044
637	5.51491
640	5.07344
643	5.91602
646	5.37461
649	5.63482
652	5.44325
655	5.64885
658	5.36474
661	5.90772
664	5.39006
667	5.71214
670	5.34925
673	5.95394
676	5.34467
679	5.68483
682	5.3871
685	5.69197
688	5.34738
691	5.97395
694	5.69452
697	5.72884
700	4.96714
703	5.75818
706	5.67989
709	5.97038
712	5.44242
715	5.41538
718	5.70474
721	5.73232
724	5.56492
727	6.02751
730	5.41644
733	6.04229
736	5.34103
739	6.01894
742	5.44474
745	5.74094
748	5.27941
751	6.05859
754	5.47745
757	6.04624
760	5.14605
763	5.79554
766	5.73368
769	6.04811
772	5.62824
775	5.65935
778	5.81234
781	5.83739
784	5.23342
787	6.06861
790	5.48861
793	5.8575
796	5.65955
799	5.85732
802	5.81796
805	5.47702
808	5.58292
811	6.12577
814	5.53317
817	5.88617
820	5.30854
823	6.11179
826	5.54237
829	6.1532
832	5.3738
835	5.83713
838	5.83294
841	5.98454
844	5.73104
847	5.73081
850	5.35765
853	6.15358
856	5.62033
859	6.18393
862	5.85615
865	5.87399
868	5.37903
871	5.94259
874	5.60412
877	6.16762
880	5.18977
883	6.17441
886	5.8781
889	5.93588
892	5.74103
895	5.92179
898	5.93541
901	5.96115
904	5.64934
907	6.19184
910	5.26593
913	5.96824
916	5.78712
919	6.23504
922	5.93709
925	5.8173
928	5.52047
931	5.82599
934	5.95289
937	6.2444
940	5.43936
943	6.03181
946	5.68499
949	6.02213
952	5.35189
955	5.94555
958	5.92902
961	6.09886
964	5.81846
967	6.25646
970	5.66804
973	5.98869
976	5.66701
979	6.06537
982	5.99593
985	5.99086
988	5.55567
991	6.29062
994	5.6841
997	6.27583
1000	5.423
